Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_016920845.1	Primary Assembly	I	13171371	44.5	CM029282.1	Chromosome		NC_053212.1	assembled-molecule	29619991			chrI
GCF_016920845.1	Primary Assembly	II	10344840	44	CM029283.1	Chromosome		NC_053213.1	assembled-molecule	23686546			chrII
GCF_016920845.1	Primary Assembly	III	7894379	45	CM029284.1	Chromosome		NC_053214.1	assembled-molecule	17759012			chrIII
GCF_016920845.1	Primary Assembly	IV	15106580	44.5	CM029285.1	Chromosome		NC_053215.1	assembled-molecule	34181212			chrIV
GCF_016920845.1	Primary Assembly	V	7023449	45.5	CM029286.1	Chromosome		NC_053216.1	assembled-molecule	15550311			chrV
GCF_016920845.1	Primary Assembly	VI	8318181	44.5	CM029287.1	Chromosome		NC_053217.1	assembled-molecule	18825451			chrVI
GCF_016920845.1	Primary Assembly	VII	13554182	44.5	CM029288.1	Chromosome		NC_053218.1	assembled-molecule	30776923			chrVII
GCF_016920845.1	Primary Assembly	VIII	9063307	44.5	CM029289.1	Chromosome		NC_053219.1	assembled-molecule	20553084			chrVIII
GCF_016920845.1	Primary Assembly	IX	9160707	44.5	CM029290.1	Chromosome		NC_053220.1	assembled-molecule	20843631			chrIX
GCF_016920845.1	Primary Assembly	X	8003248	45	CM029291.1	Chromosome		NC_053221.1	assembled-molecule	17985176			chrX
GCF_016920845.1	Primary Assembly	XI	7964261	45.5	CM029292.1	Chromosome		NC_053222.1	assembled-molecule	17651971			chrXI
GCF_016920845.1	Primary Assembly	XII	9163291	44.5	CM029293.1	Chromosome		NC_053223.1	assembled-molecule	20694444			chrXII
GCF_016920845.1	Primary Assembly	XIII	9121863	44.5	CM029294.1	Chromosome		NC_053224.1	assembled-molecule	20748428			chrXIII
GCF_016920845.1	Primary Assembly	XIV	7194595	45	CM029295.1	Chromosome		NC_053225.1	assembled-molecule	16147532			chrXIV
GCF_016920845.1	Primary Assembly	XV	7782190	45	CM029296.1	Chromosome		NC_053226.1	assembled-molecule	17318724			chrXV
GCF_016920845.1	Primary Assembly	XVI	8607182	44.5	CM029298.1	Chromosome		NC_053227.1	assembled-molecule	19507025			chrXVI
GCF_016920845.1	Primary Assembly	XVII	8935085	44.5	CM029299.1	Chromosome		NC_053228.1	assembled-molecule	20195758			chrXVII
GCF_016920845.1	Primary Assembly	XVIII	7128745	45	CM029300.1	Chromosome		NC_053229.1	assembled-molecule	15939336			chrXVIII
GCF_016920845.1	Primary Assembly	XIX	9041356	44.5	CM029301.1	Chromosome		NC_053230.1	assembled-molecule	20580295			chrXIX
GCF_016920845.1	Primary Assembly	XX	9017335	44.5	CM029302.1	Chromosome		NC_053231.1	assembled-molecule	20445003			chrXX
GCF_016920845.1	Primary Assembly	XXI	7720437	45	CM029303.1	Chromosome		NC_053232.1	assembled-molecule	17421465			chrXXI
GCF_016920845.1	Primary Assembly	Y	6936045	44	CM029297.1	Chromosome		NC_053233.1	assembled-molecule	15859692			chrY
GCF_016920845.1	Primary Assembly	Un			JACDQR010000024.1	Chromosome		NW_024397038.1	unplaced-scaffold	11507			Contig1
GCF_016920845.1	Primary Assembly	Un			JACDQR010000025.1	Chromosome		NW_024398027.1	unplaced-scaffold	2270			Contig2
GCF_016920845.1	Primary Assembly	Un			JACDQR010000026.1	Chromosome		NW_024398950.1	unplaced-scaffold	5584			Contig3
GCF_016920845.1	Primary Assembly	Un			JACDQR010000027.1	Chromosome		NW_024399357.1	unplaced-scaffold	23490			Contig4
GCF_016920845.1	Primary Assembly	Un			JACDQR010000028.1	Chromosome		NW_024399461.1	unplaced-scaffold	1538			Contig5
